"contour_id","order","x","y"
"C01",1,1.02384479504173,0.403147664075267
"C01",2,0.760270900324187,0.722726658332869
"C01",3,0.368634915011137,0.846014600945417
"C01",4,5.8971975282505e-17,0.915555905737021
"C01",5,-0.384171337301124,0.881670583513932
"C01",6,-0.775834273575359,0.737521469942008
"C01",7,-1.0337289086324,0.407039618524645
"C01",8,-1.01898710412976,1.18623546083813e-16
"C01",9,-0.835454569581428,-0.328967397987342
"C01",10,-0.665119852746412,-0.632274427919429
"C01",11,-0.404660676723468,-0.928693476921912
"C01",12,-1.99663140747683e-16,-1.03327479871485
"C01",13,0.398985673820507,-0.915669384192749
"C01",14,0.67247077979798,-0.639262346227709
"C01",15,0.885182749596842,-0.3485482951204
"C01",16,1.01809578113119,-2.37039568648696e-16
"C02",1,1.04809575091726,0.392416750400476
"C02",2,0.785390038863009,0.709917122215512
"C02",3,0.399899152249132,0.872666753871917
"C02",4,5.92666115462096e-17,0.874914969705363
"C02",5,-0.387785618357026,0.846232393508592
"C02",6,-0.769006141172997,0.695107653132348
"C02",7,-1.07331151360055,0.401857765348192
"C02",8,-1.06770584965456,1.18187186071348e-16
"C02",9,-0.936390482860064,-0.350593264087077
"C02",10,-0.720021211688098,-0.650829984138491
"C02",11,-0.413741373113119,-0.9028734844434
"C02",12,-2.11497683648138e-16,-1.04073487952257
"C02",13,0.430788739654993,-0.94007453860541
"C02",14,0.704480088165932,-0.636782301915753
"C02",15,0.903945906094368,-0.338445714236436
"C02",16,1.04330509876176,-2.30972404761921e-16
"C03",1,1.07681255648236,0.383429612042164
"C03",2,0.814584895454007,0.700257190828883
"C03",3,0.399889375113162,0.829921040166803
"C03",4,6.22306673770201e-17,0.873693631514671
"C03",5,-0.405844486906324,0.842280139660987
"C03",6,-0.813690653650214,0.699488456646675
"C03",7,-1.09549093148322,0.390080576536441
"C03",8,-1.11003243724548,1.16856642112961e-16
"C03",9,-0.954729942423906,-0.339958639249608
"C03",10,-0.748763331948418,-0.643673741499518
"C03",11,-0.438238882091024,-0.909510708464303
"C03",12,-2.13027473402361e-16,-0.996940119152208
"C03",13,0.430909709055898,-0.894299914461205
"C03",14,0.716418083291233,-0.615868176864393
"C03",15,0.923780049280846,-0.328938053123313
"C03",16,1.08278881136431,-2.27977238084145e-16
"C04",1,1.08649104182622,0.367980872513992
"C04",2,0.831392953585066,0.679799936407163
"C04",3,0.408379555166254,0.806147399471969
"C04",4,6.32322885008988e-17,0.844397944758077
"C04",5,-0.408283826151897,0.80595842895422
"C04",6,-0.828374174953669,0.677331590346733
"C04",7,-1.08738843371259,0.36828480787712
"C04",8,-1.1009447118562,1.10239389242841e-16
"C04",9,-0.95644347942347,-0.32393539616948
"C04",10,-0.730200391494164,-0.597058439768732
"C04",11,-0.437600477888177,-0.863829941520037
"C04",12,-2.21565059766763e-16,-0.9862528861585
"C04",13,0.439157666956721,-0.866903856220743
"C04",14,0.741286944505813,-0.606123513028969
"C04",15,0.925668582236964,-0.313512324940854
"C04",16,1.10700657604312,-2.21692747177194e-16
"C05",1,1.10888372572587,0.357244749781471
"C05",2,0.826684280660844,0.642976662736212
"C05",3,0.427774281125575,0.803241033099372
"C05",4,6.39708285880417e-17,0.812589102555432
"C05",5,-0.416721488272966,0.782486964560696
"C05",6,-0.852866690085824,0.663340758955641
"C05",7,-1.11417990516651,0.358950999278307
"C05",8,-1.15906427901231,1.1039758182188e-16
"C05",9,-0.956733898878363,-0.308227232831394
"C05",10,-0.737494494466034,-0.573606829029138
"C05",11,-0.447650200765814,-0.840562477912784
"C05",12,-2.28638779933875e-16,-0.968094286601994
"C05",13,0.457637933832311,-0.859316660622285
"C05",14,0.744394775949769,-0.578973714627599
"C05",15,0.974927994277101,-0.314088753663047
"C05",16,1.11192346458775,-2.11815106175299e-16
"C06",1,1.13597643087593,0.348120754655727
"C06",2,0.875841339226768,0.647980177801918
"C06",3,0.441243745150451,0.788116696591552
"C06",4,6.59792859955608e-17,0.797218520795115
"C06",5,-0.428489896715486,0.765336722919706
"C06",6,-0.88840603208105,0.657276007474598
"C06",7,-1.20237647583974,0.368469093876244
"C06",8,-1.13974562025115,1.03262044939326e-16
"C06",9,-1.02719031612984,-0.314783175343213
"C06",10,-0.774222010724712,-0.572798398178445
"C06",11,-0.467636775560463,-0.835257960730461
"C06",12,-2.26499492394309e-16,-0.912253937291695
"C06",13,0.461217718151766,-0.823792718728111
"C06",14,0.770939766840287,-0.570370071402164
"C06",15,0.99337777734909,-0.304421299693993
"C06",16,1.14976801313961,-2.0834016667063e-16
